id,timestep,F_x,F_y,F_z,T_x,T_y,T_z
0,1,-2,2,20,5,-6,-1
0,2,-2,1,20,5,-6,0
0,3,-2,1,23,5,-6,0
0,4,-2,2,20,5,-6,-1
0,5,-3,1,22,5,-6,-1
0,6,-2,2,20,5,-6,-1
0,7,-2,2,20,5,-6,-1
0,8,-3,3,20,5,-6,-1
0,9,-2,1,13,7,-3,-1
0,10,-3,1,4,3,-7,0
0,11,-1,0,13,4,-5,-1
0,12,-4,3,15,2,-11,-1
0,13,-1,2,29,7,-6,-1
0,14,1,-1,23,9,2,0
0,15,-2,2,29,3,-6,0
1,1,-3,2,22,5,-8,0
1,2,-2,2,19,5,-7,0
1,3,-3,2,23,5,-7,0
1,4,-2,2,22,5,-6,-1
1,5,-2,2,20,5,-6,-1
1,6,-2,2,23,5,-7,-1
1,7,-2,2,20,5,-7,-1
1,8,-2,2,22,4,-7,-1
1,9,0,1,23,8,-4,0
1,10,3,0,28,6,1,-1
1,11,0,2,18,7,-5,-1
1,12,-2,3,20,2,-7,0
1,13,-4,3,22,4,-11,-1
1,14,-2,2,6,5,-8,-1
1,15,-3,3,24,4,-8,-1
2,1,-2,2,20,5,-6,-1
2,2,-2,2,19,5,-7,0
2,3,-2,2,20,5,-6,-1
2,4,-2,2,20,5,-6,-1
2,5,-2,2,22,4,-7,-1
2,6,-2,2,22,4,-7,-1
2,7,-2,2,22,5,-6,-1
2,8,-2,2,22,5,-5,-1
2,9,-2,2,24,2,-6,0
2,10,0,0,22,4,-3,-1
2,11,-2,1,31,2,-6,-1
2,12,-3,2,23,4,-8,-2
2,13,-2,1,29,7,-5,-2
2,14,-2,2,41,4,-5,-2
2,15,-3,1,3,5,-6,0
3,1,-2,2,20,5,-6,-1
3,2,-3,1,18,4,-6,0
3,3,-2,2,20,5,-6,-1
3,4,-2,2,20,5,-6,-1
3,5,-2,1,20,5,-6,0
3,6,-3,1,20,5,-6,-1
3,7,-2,2,20,3,-6,-1
3,8,-2,2,20,5,-6,-1
3,9,-3,1,9,7,-8,0
3,10,-4,2,11,3,-7,-1
3,11,-6,3,23,-2,-11,0
3,12,-3,0,18,7,-10,0
3,13,-4,0,17,4,-9,-1
3,14,-4,0,32,4,-10,-1
3,15,-2,1,30,5,-5,-1
4,1,-2,2,20,4,-7,-1
4,2,-2,1,19,5,-7,0
